ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
83586,11597000000,4,4,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
89406,47307000000,4,5,289.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
84313,19711000000,6,5,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
102584,12423000000,5,5,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
102150,26118000000,3,4,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
103823,44871000000,4,4,550.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
86766,3929000000,2,1,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
88980,37660000000,3,4,312.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
84611,37339000000,4,4,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
94541,65959999999,4,5,450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
99422,7463000000,3,3,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
107248,15427000000,3,3,169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
84509,26523000000,4,4,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
95029,23161000000,5,5,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
109039,17905000000,3,3,197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
95279,60585000000,5,6,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
94539,67500000000,4,5,450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
48861,25000000000,4,0,320.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
dfe757d1-bb40-44f2-a95f-6237aaf5342b,4200000000,3,3,24.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
dc5a71c3-6f47-4c8c-9062-f543c465ad50,11800000000,3,3,160.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8ed153ed-a71f-41cb-8d4d-b6b633246d3f,12500000000,8,9,320.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
713e36f3-837a-46fa-a6b1-b599c343132f,38000000000,4,4,245.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
87399,22000000000,4,0,230.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
85636,20700000000,4,0,250.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98276,21870000000,4,0,257.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98396,28760000000,4,0,314.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
59026,61000000000,5,0,504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
28480,129000000000,5,0,1200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
47397,38000000000,4,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
89699,22700000000,4,0,314.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
105038,30500000000,4,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
e9db889d-7c18-4a7c-a506-0d178de3ab25,6200000000,2,2,50.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
bf350554-a92f-4a0b-af9b-50473d883162,6200000000,1,1,57.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
959a0e47-7ef7-472f-a9d7-84e609dc3489,17900000000,20,20,80.0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
90cf1a23-5108-435a-90e3-81549e83af4e,9300000000,1,1,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8667bd06-8d25-47d4-bfae-d6cd9e6d7b67,9400000000,6,5,76.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
64d84438-b566-4f84-93f8-e06ab528aae1,10800000000,9,9,70.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
5126087f-d446-4533-92c7-f9bd08d8ec5c,10800000000,9,9,70.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
48a32306-3225-474f-b5f2-fbd5801c77c2,10800000000,9,9,70.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
163b0fd8-cf46-4a65-b8de-97cfd81c9d00,10800000000,9,9,70.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
2a1a6761-f80f-4ab3-96de-8b6d8dcb9678,6500000000,2,2,42.0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
76760,82000000000,5,7,912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
50525,57000000000,5,7,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
98e3c9f1-6013-4ccc-be8e-d6f049fa06cd,14000000000,4,4,132.0,132,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
100197,42576000000,5,5,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
83669,18568000000,3,3,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
98406,27180000000,4,0,240.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98343,23240000000,4,0,341.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
42231,148000000000,6,0,1600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
72343,68000000000,4,0,272.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98447,26788000000,4,0,240.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98305,21554000000,4,0,257.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98623,157691000000,5,0,790.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
87416,21682000000,4,0,230.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98361,22905000000,4,0,341.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
108388,18839000000,3,0,102.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
98405,28345000000,4,0,314.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
30253,20000000000,4,0,501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
88445,14760000000,4,0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
86142,13200000000,4,0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
76052573-ec89-487f-a908-356833b64560,11000000000,4,3,110.0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
6b422b6f-b017-4836-aaaa-d2ed6db057f5,160000000000,5,5,0,1,1,0,0,0,1,0,1,1,0,0,0,1,ho-chi-minh,houses,0,
74199,58000000000,5,0,320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
39300,28000000000,4,0,228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
97377,19500000000,4,0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
3d6100ef-ad60-4e79-bf30-e5d663331970,160000000000,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
32236,54000000000,6,0,640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
45260,100000000000,6,0,1600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
32240,43000000000,6,0,456.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
e9c9193c-f161-455f-9d79-146291dc75cc,10000000000,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
179c1313-8b91-4804-8b72-a8a0e748a6c7,8000000000,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
ee9fca69-4e30-4d63-be1e-9f560e765f22,10000000000,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
e068dcdb-b57a-49c2-9ead-afc098335c79,8199999999,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
d2e951b2-ccb1-48d3-9e15-7b84f853c07b,9800000000,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
94e8e38a-649c-4f36-bf46-57cbd194cea7,12700000000,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
5bd03b53-77eb-4ac9-975f-43e0e14d68d6,19450000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
f267dd28-c811-4eb8-af40-86a315322b7c,8700000000,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
e53e3fe3-9203-4d41-bc92-b381e860faf7,9100000000,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
ae709309-220d-4804-acdc-35d1917e89a1,8500000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
96b18b68-85e9-4ba6-a49b-145e1bfe1800,8500000000,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
947eddff-d4de-40dc-9bdd-edaf1efa2cae,8500000000,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
639dc75a-eacd-427f-b04e-15f3b6af7e8c,8500000000,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
053c7e1b-9c67-488f-b5fa-3649a6e9f929,9900000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8340b586-e975-415d-af3a-6e37911cfbd9,8500000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
530fb998-4ee1-484f-bedc-c006550501c8,9300000000,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
3b04e666-c108-4fe0-a59d-fbe0937a1ef1,12300000000,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
22c91900-d3cd-422f-bc2e-4a1de9a54951,11200000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
13904fd5-6a63-417b-a292-e8ef36f8cef5,13450000000,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
53f9e0a9-8631-4d09-960c-9f1d346c6686,8600000000,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
4ee61230-d75c-41b1-b4ae-6a6211f0f2fb,16500000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
11ff7ee1-0c17-41f8-be7e-df7cd1c8e430,5600000000,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
988d2057-9c80-49ee-8a7c-c4e01f244c59,8100000000,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
98b21575-b03a-4be8-bfaa-6c0631d9398b,9350000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
859d58f3-1de3-4020-a32f-4d9a8d2fe317,18400000000,10,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
5e1b5b6e-19e0-42f3-898a-abe780f4b89d,13500000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
33285b33-27fa-4de1-939a-c3d30defb180,7800000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
d90c0379-dfa1-42d4-95f1-4735262e0486,8500000000,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
cc44deb4-ced7-475a-86fa-74211f84c519,12900000000,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
34f26315-8cbf-4a3e-8994-77a103c78936,7300000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
ead27562-e965-4e1e-aa45-8e9fda02bdd3,6200000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
db153d47-650b-4ff5-8264-c0d670bd0ed2,9400000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
d297d548-9d4d-497a-8ee9-4c03f64c0d81,9450000000,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
59778f7f-57f6-461f-9f96-7bfc5fa4498c,8700000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
a5d36c5a-8147-4335-937a-e7aa671e280b,15900000000,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
30df7074-d187-403e-b706-048ef4bb8d27,11900000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
0886b0ec-0e37-492f-ae17-e12a500dc268,9500000000,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
05443e59-c710-4723-9072-4c5b0253d39d,8199999999,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
996ab90d-8f07-45fc-a606-f2693899b686,6000000000,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8b213e8f-fd0a-45dd-a0e5-78f8018fdcda,10500000000,14,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
840829d2-6e6e-4459-b7a4-119e598e25d0,13500000000,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
277c96f2-188f-43fc-a5d7-e23d1713b4ee,11800000000,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
